chr	start	end	isoID	strand	exon_start	exon_end	len	start_type	end_type	geneName	detail_type	type
chr11	77336008	77336863	chr11|77336008,77336762|77336115,77336863	-	77336008,77336762	77336115,77336863	210	m,m	m,m	CLNS1A	full match	full match
chr1	47767233	47776034	chr1|47767233,47767906,47770561,47775948|47767420,47768018,47770668,47776034	-	47767233,47767906,47770561,47775948	47767420,47768018,47770668,47776034	496	m,m,m,m	m,m,m,m	STIL	full match	full match
chr4	39928395	39929784	chr4|39928395,39929581|39928481,39929784	-	39928395,39929581	39928481,39929784	291	m,m	m,m	PDS5A	full match	full match
chr20	34300941	34313077	chr20|34300941,34302107,34304662,34309662,34312492,34312960|34301018,34302311,34304727,34309799,34312644,34313077	-	34300941,34302107,34304662,34309662,34312492,34312960	34301018,34302311,34304727,34309799,34312644,34313077	758	m,m,m,m,m,m	m,m,m,m,m,m	RBM39	full match	full match
chr6	42643794	42647570	chr6|42643794,42644521,42646277,42647462|42643929,42644611,42646407,42647570	+	42643794,42644521,42646277,42647462	42643929,42644611,42646407,42647570	467	m,m,m,m	m,m,m,m	UBR2	full match	full match
chr1	93070864	93073284	chr1|93070864,93073138|93070959,93073284	-	93070864,93073138	93070959,93073284	243	m,m	m,m	EVI5	full match	full match
chr5	138994171	138994551	chr5|138994171,138994282,138994446|138994202,138994359,138994551	+	138994171,138994282,138994446	138994202,138994359,138994551	216	m,m,m	m,m,m	UBE2D2	full match	full match
chr11	14793483	14810788	chr11|14793483,14807983,14810652|14793533,14808231,14810788	+	14793483,14807983,14810652	14793533,14808231,14810788	437	m,m,m	m,m,m	PDE3B	full match	full match
chr16	18852887	18856973	chr16|18852887,18853530,18856751|18853116,18853776,18856973	-	18852887,18853530,18856751	18853116,18853776,18856973	700	m,m,m	m,m,m	SMG1	full match	full match
chr7	103801520	103828829	chr7|103801520,103805683,103807220,103808921,103824391,103824571,103828699|103801630,103805730,103807332,103808973,103824481,103824619,103828829	-	103801520,103805683,103807220,103808921,103824391,103824571,103828699	103801630,103805730,103807332,103808973,103824481,103824619,103828829	596	m,m,m,m,m,m,m	m,m,m,m,m,m,m	ORC5	full match	full match
chr9	34286615	34297112	chr9|34286615,34288361,34290172,34297015|34286702,34288477,34290387,34297112	-	34286615,34288361,34290172,34297015	34286702,34288477,34290387,34297112	519	m,intron,m,m	m,intron,m,m	KIF24	full match	full match
chr11	85718585	85742653	chr11|85718585,85722073,85723324,85725913,85733410,85737334,85742511|85718626,85722179,85723435,85726006,85733512,85737409,85742653	-	85718585,85722073,85723324,85725913,85733410,85737334,85742511	85718626,85722179,85723435,85726006,85733512,85737409,85742653	677	m,m,m,m,m,m,m	m,m,m,m,m,m,m	PICALM	full match	full match
chr1	40733458	40737707	chr1|40733458,40734091,40735647,40737566|40733544,40734207,40735799,40737707	+	40733458,40734091,40735647,40737566	40733544,40734207,40735799,40737707	499	m,m,m,m	m,m,m,m	ZMPSTE24	full match	full match
chr3	119219542	119232566	chr3|119219542,119222379,119222801,119232488|119219707,119222467,119222868,119232566	+	119219542,119222379,119222801,119232488	119219707,119222467,119222868,119232566	402	m,m,m,m	m,m,m,m	TIMMDC1	full match	full match
chr8	116599228	116599831	chr8|116599228|116599831	-	116599228	116599831	604	m	m	TRPS1	full match	full match
chr20	56846419	56847931	chr20|56846419,56847825|56846561,56847931	-	56846419,56847825	56846561,56847931	250	m,m	m,m	PPP4R1L	full match	full match
chr12	122701035	122709295	chr12|122701035,122701306,122702813,122709192|122701131,122701416,122702944,122709295	-	122701035,122701306,122702813,122709192	122701131,122701416,122702944,122709295	444	m,m,m,m	m,m,m,m	DIABLO	full match	full match
chr3	71096093	71096246	chr3|71096093|71096246	-	71096093	71096246	154	m	m	FOXP1	full match	full match
chr6	155095123	155116273	chr6|155095123,155099135,155108995,155113957,155116143|155095206,155099179,155109156,155114110,155116273	+	155095123,155099135,155108995,155113957,155116143	155095206,155099179,155109156,155114110,155116273	576	m,m,m,m,m	m,m,m,m,m	SCAF8	full match	full match
chr16	74982417	74999720	chr16|74982417,74983616,74985356,74990373,74999671|74982454,74983696,74985441,74990508,74999720	-	74982417,74983616,74985356,74990373,74999671	74982454,74983696,74985441,74990508,74999720	391	m,m,m,m,m	m,m,m,m,m	WDR59	full match	full match
chr20	23380670	23380845	chr20|23380670|23380845	-	23380670	23380845	176	intron	intron	NAPB	cryptic exon	cryptic exon
chr17	57808782	57816308	chr17|57808782,57812699,57814814,57816198|57808883,57812834,57814904,57816308	+	57808782,57812699,57814814,57816198	57808883,57812834,57814904,57816308	440	m,m,m,m	m,m,m,m	VMP1	full match	full match
chr2	227672202	227689516	chr2|227672202,227673105,227689416|227672341,227673353,227689516	+	227672202,227673105,227689416	227672341,227673353,227689516	490	m,m,intergenic	m,m,intergenic	RP11-395N3.2	novel UTR3	novel UTR
chr7	156619299	156629579	chr7|156619299,156626447,156629503|156619438,156626486,156629579	-	156619299,156626447,156629503	156619438,156626486,156629579	257	m,m,m	m,m,m	LMBR1	full match	full match
chr1	220440555	220440939	chr1|220440555|220440939	-	220440555	220440939	385	inE	inE	RAB3GAP2	N5SS,N3SS	NSS
chr15	43426455	43438832	chr15|43426455,43427710,43430772,43438691|43426566,43427847,43430817,43438832	+	43426455,43427710,43430772,43438691	43426566,43427847,43430817,43438832	438	m,m,m,m	m,m,m,m	TMEM62	full match	full match
chr10	34648075	34673182	chr10|34648075,34648999,34663802,34666895,34671468,34673057|34648245,34649187,34663930,34667034,34671850,34673182	-	34648075,34648999,34663802,34666895,34671468,34673057	34648245,34649187,34663930,34667034,34671850,34673182	1138	m,m,m,m,m,m	m,m,m,m,m,m	PARD3	full match	full match
chr1	155340295	155340774	chr1|155340295,155340568|155340441,155340774	-	155340295,155340568	155340441,155340774	354	m,m	m,m	ASH1L	full match	full match
chr9	33960824	34017187	chr9|33960824,33963724,33971649,33973181,33986758,33988971,33996221,33998785,34017048|33960876,33963789,33971752,33973235,33986835,33989124,33996331,33998862,34017187	-	33960824,33963724,33971649,33973181,33986758,33988971,33996221,33998785,34017048	33960876,33963789,33971752,33973235,33986835,33989124,33996331,33998862,34017187	839	m,m,m,m,m,m,m,m,m	m,m,m,m,m,m,m,m,m	UBAP2	full match	full match
chr8	107691438	107696587	chr8|107691438,107695427,107696474|107691520,107695534,107696587	+	107691438,107695427,107696474	107691520,107695534,107696587	305	m,m,m	m,m,m	OXR1	full match	full match
chr1	36096875	36102033	chr1|36096875,36101911|36096945,36102033	-	36096875,36101911	36096945,36102033	194	m,m	m,m	PSMB2	full match	full match
chr2	233612325	233626146	chr2|233612325,233613697,233620933,233625190,233626106|233612454,233613792,233621044,233625301,233626146	+	233612325,233613697,233620933,233625190,233626106	233612454,233613792,233621044,233625301,233626146	491	m,m,m,m,m	m,m,m,m,m	GIGYF2	full match	full match
chr15	63824846	63852169	chr15|63824846,63829224,63845914,63848866,63850305,63852056|63824906,63829355,63845997,63848947,63850387,63852169	+	63824846,63829224,63845914,63848866,63850305,63852056	63824906,63829355,63845997,63848947,63850387,63852169	556	m,m,m,m,m,m	m,m,m,m,m,m	USP3	full match	full match
chr22	34157358	34226197	chr22|34157358,34226055|34157545,34226197	-	34157358,34226055	34157545,34226197	331	m,intron	m,intron	LARGE	cryptic exon	cryptic exon
chr12	19615444	19646920	chr12|19615444,19626182,19646734|19615651,19626289,19646920	+	19615444,19626182,19646734	19615651,19626289,19646920	503	m,m,m	m,m,m	AEBP2	full match	full match
chr2	24531486	24550984	chr2|24531486,24533153,24533358,24535081,24536329,24538001,24550921|24531625,24533249,24533561,24535244,24536392,24538093,24550984	-	24531486,24533153,24533358,24535081,24536329,24538001,24550921	24531625,24533249,24533561,24535244,24536392,24538093,24550984	826	m,m,m,m,m,m,m	m,m,m,m,m,m,m	ITSN2	full match	full match
chr12	57064059	57064719	chr12|57064059|57064719	-	57064059	57064719	661	m	outE	PTGES3	N3SS	NSS
chr17	58711214	58725443	chr17|58711214,58725253|58711338,58725443	+	58711214,58725253	58711338,58725443	316	m,m	m,m	PPM1D	full match	full match
chr21	40641825	40646398	chr21|40641825,40642209,40646300|40641959,40642359,40646398	-	40641825,40642209,40646300	40641959,40642359,40646398	385	m,m,m	m,m,m	BRWD1	full match	full match
chr2	15613346	15616004	chr2|15613346,15614191,15615811|15613471,15614448,15616004	-	15613346,15614191,15615811	15613471,15614448,15616004	578	m,m,m	m,m,m	NBAS	full match	full match
chr18	33606863	33620828	chr18|33606863,33607147,33610771,33610954,33613671,33620770|33607038,33607273,33610868,33611060,33613800,33620828	-	33606863,33607147,33610771,33610954,33613671,33620770	33607038,33607273,33610868,33611060,33613800,33620828	697	m,m,m,m,m,m	m,m,m,m,m,m	RPRD1A	full match	full match
chr1	224553581	224559125	chr1|224553581,224558985|224553693,224559125	+	224553581,224558985	224553693,224559125	254	m,m	m,m	CNIH4	full match	full match
chr12	116668238	116675510	chr12|116668238,116675273|116668337,116675510	-	116668238,116675273	116668337,116675510	338	intron,m	intron,m	MED13L	cryptic exon	cryptic exon
chr17	65924471	65928135	chr17|65924471,65925452,65928027|65924717,65925603,65928135	+	65924471,65925452,65928027	65924717,65925603,65928135	508	m,m,m	m,m,m	BPTF	full match	full match
chr2	203162102	203162629	chr2|203162102,203162568|203162236,203162629	+	203162102,203162568	203162236,203162629	197	m,m	m,m	NOP58	full match	full match
chr21	10996020	10998335	chr21|10996020,10998207|10996139,10998335	-	10996020,10998207	10996139,10998335	249	m,m	m,m	TPTE	full match	full match
chr6	52935855	52941341	chr6|52935855,52938279,52941284|52935941,52938437,52941341	+	52935855,52938279,52941284	52935941,52938437,52941341	304	m,m,m	m,m,m	FBXO9	full match	full match
chr14	23375404	23380612	chr14|23375404,23377542,23378692,23380537|23375577,23377589,23378804,23380612	-	23375404,23377542,23378692,23380537	23375577,23377589,23378804,23380612	411	m,m,m,m	m,m,m,m	RBM23	full match	full match
chr20	19309166	19323390	chr20|19309166,19322196,19323338|19309276,19322445,19323390	+	19309166,19322196,19323338	19309276,19322445,19323390	414	intron,intron,intron	intron,intron,intron	SLC24A3	cryptic exon	cryptic exon
chr10	74828604	74834673	chr10|74828604,74831787,74833489,74834566|74828741,74831938,74833585,74834673	-	74828604,74831787,74833489,74834566	74828741,74831938,74833585,74834673	495	m,m,m,m	m,m,m,m	P4HA1	full match	full match
chr14	104135848	104139768	chr14|104135848,104136519,104139351,104139669|104135935,104136620,104139524,104139768	+	104135848,104136519,104139351,104139669	104135935,104136620,104139524,104139768	464	m,m,m,m	m,m,m,m	KLC1	full match	full match
chr3	169831148	169840532	chr3|169831148,169835014,169840379|169831307,169835264,169840532	-	169831148,169835014,169840379	169831307,169835264,169840532	565	m,m,m	m,m,m	PHC3	full match	full match
chr13	111896219	111896641	chr13|111896219,111896546|111896313,111896641	+	111896219,111896546	111896313,111896641	191	m,m	m,m	ARHGEF7	full match	full match
chr10	34559795	34637043	chr10|34559795,34573063,34591257,34606035,34620045,34625127,34626203,34630555,34636893|34559907,34573173,34591357,34606266,34620272,34625171,34626354,34630744,34637043	-	34559795,34573063,34591257,34606035,34620045,34625127,34626203,34630555,34636893	34559907,34573173,34591357,34606266,34620272,34625171,34626354,34630744,34637043	1323	intron,m,intron,m,m,m,m,m,m	intron,m,intron,m,m,m,m,m,m	PARD3	cryptic exon	cryptic exon
chr7	6840579	6841154	chr7|6840579,6840996|6840706,6841154	-	6840579,6840996	6840706,6841154	287	m,m	m,m	CCZ1B	full match	full match
chr3	195706615	195709181	chr3|195706615,195709033|195706737,195709181	-	195706615,195709033	195706737,195709181	272	m,m	m,m	SDHAP1	full match	full match
chr20	18278629	18287037	chr20|18278629,18278933,18285652,18286325,18286942|18278706,18279108,18285822,18286451,18287037	+	18278629,18278933,18285652,18286325,18286942	18278706,18279108,18285822,18286451,18287037	648	m,m,m,m,m	m,m,m,m,m	ZNF133	full match	full match
chrX	24190832	24197887	chrX|24190832,24191724,24193506,24197300|24190917,24191840,24193560,24197887	+	24190832,24191724,24193506,24197300	24190917,24191840,24193560,24197887	846	m,m,m,m	m,m,m,m	ZFX	full match	full match
chr3	138289222	138291774	chr3|138289222,138289876,138290108,138291701|138289340,138289999,138290198,138291774	-	138289222,138289876,138290108,138291701	138289340,138289999,138290198,138291774	408	inE,m,m,m	m,m,m,m	CEP70	N3SS	NSS
chr7	103801520	103808973	chr7|103801520,103805683,103807220,103808921|103801630,103805730,103807332,103808973	-	103801520,103805683,103807220,103808921	103801630,103805730,103807332,103808973	325	m,m,m,m	m,m,m,m	ORC5	full match	full match
chr18	8718422	8720494	chr18|8718422,8720336|8718646,8720494	+	8718422,8720336	8718646,8720494	384	m,m	m,m	SOGA2	full match	full match
chr4	99801478	99801760	chr4|99801478|99801760	-	99801478	99801760	283	inE	inE	EIF4E	N5SS,N3SS	NSS
chr3	196626537	196632053	chr3|196626537,196626795,196627236,196630404,196631816|196626642,196626933,196627283,196630481,196632053	+	196626537,196626795,196627236,196630404,196631816	196626642,196626933,196627283,196630481,196632053	609	m,m,m,m,m	m,m,m,m,inE	SENP5	N5SS	NSS
chr5	179132680	179136060	chr5|179132680,179133259,179134133,179135240,179135979|179132853,179133332,179134191,179135381,179136060	+	179132680,179133259,179134133,179135240,179135979	179132853,179133332,179134191,179135381,179136060	531	m,m,m,m,m	m,m,m,m,m	CANX	full match	full match
chr1	31465237	31479949	chr1|31465237,31467901,31478700,31479841|31465507,31468067,31478878,31479949	-	31465237,31467901,31478700,31479841	31465507,31468067,31478878,31479949	726	m,m,m,m	m,m,m,m	PUM1	full match	full match
chr12	106799635	106804738	chr12|106799635,106804604|106799754,106804738	+	106799635,106804604	106799754,106804738	255	m,m	m,m	POLR3B	full match	full match
chr17	7351898	7352107	chr17|7351898|7352107	+	7351898	7352107	210	m	m	CHRNB1	full match	full match
chr5	148899853	148929744	chr5|148899853,148904608,148929638|148899951,148904734,148929744	-	148899853,148904608,148929638	148899951,148904734,148929744	333	m,m,m	m,m,m	CSNK1A1	full match	full match
chr21	34951656	34955972	chr21|34951656,34953608,34954257,34954471,34955794|34951868,34953806,34954361,34954552,34955972	-	34951656,34953608,34954257,34954471,34955794	34951868,34953806,34954361,34954552,34955972	778	m,m,m,m,m	m,m,m,m,m	DONSON	full match	full match
chr5	170626674	170648844	chr5|170626674,170632528,170640635,170648762|170626777,170632616,170640742,170648844	+	170626674,170632528,170640635,170648762	170626777,170632616,170640742,170648844	384	m,m,m,m	m,m,m,m	RANBP17	full match	full match
chr4	110412483	110416012	chr4|110412483,110415771|110412563,110416012	+	110412483,110415771	110412563,110416012	323	m,m	m,m	SEC24B	full match	full match
chr2	43725972	43768455	chr2|43725972,43732761,43735787,43755018,43768298|43726094,43732874,43735919,43755127,43768455	-	43725972,43732761,43735787,43755018,43768298	43726094,43732874,43735919,43755127,43768455	638	m,m,m,m,m	m,m,m,m,m	THADA	full match	full match
chr10	104899163	104934739	chr10|104899163,104931147,104934615|104899236,104931209,104934739	-	104899163,104931147,104934615	104899236,104931209,104934739	262	m,intron,m	m,intron,m	NT5C2	full match	full match
chr13	46070287	46077484	chr13|46070287,46077379|46070447,46077484	+	46070287,46077379	46070447,46077484	267	m,m	m,m	COG3	full match	full match
chr10	34558585	34573173	chr10|34558585,34573063|34558827,34573173	-	34558585,34573063	34558827,34573173	354	m,m	m,m	PARD3	full match	full match
chr16	11988811	11990642	chr16|11988811,11990415|11988844,11990642	-	11988811,11990415	11988844,11990642	262	m,m	m,m	GSPT1	full match	full match
chr12	121221477	121222396	chr12|121221477,121222277|121221555,121222396	-	121221477,121222277	121221555,121222396	199	m,m	m,m	SPPL3	full match	full match
chr17	11958206	12016677	chr17|11958206,11984673,11998892,12013692,12016550|11958308,11984847,11999011,12013743,12016677	+	11958206,11984673,11998892,12013692,12016550	11958308,11984847,11999011,12013743,12016677	578	m,m,m,m,m	m,m,m,m,m	MAP2K4	full match	full match
chr4	52729603	52758017	chr4|52729603,52729836,52740437,52743929,52752734,52757926|52729673,52729875,52740551,52744020,52752804,52758017	+	52729603,52729836,52740437,52743929,52752734,52757926	52729673,52729875,52740551,52744020,52752804,52758017	481	m,m,m,m,m,m	m,m,m,m,m,m	DCUN1D4	full match	full match
chr13	96409898	96416207	chr13|96409898,96412294,96412933,96415897,96416087|96410050,96412475,96413052,96416002,96416207	+	96409898,96412294,96412933,96415897,96416087	96410050,96412475,96413052,96416002,96416207	682	m,m,m,m,m	m,m,m,m,m	DNAJC3	full match	full match
chr1	117944808	117984947	chr1|117944808,117948171,117957335,117963191,117984853|117945063,117948267,117957453,117963271,117984947	+	117944808,117948171,117957335,117963191,117984853	117945063,117948267,117957453,117963271,117984947	648	m,m,m,m,m	m,m,m,m,m	MAN1A2	full match	full match
chr2	45773871	45789895	chr2|45773871,45774661,45778264,45780762,45789792|45773978,45774751,45778421,45780869,45789895	-	45773871,45774661,45778264,45780762,45789792	45773978,45774751,45778421,45780869,45789895	569	m,m,m,m,m	m,m,m,m,m	SRBD1	full match	full match
chr10	123596233	123629553	chr10|123596233,123600597,123629521|123596332,123600778,123629553	-	123596233,123600597,123629521	123596332,123600778,123629553	315	m,m,m	m,m,m	ATE1	full match	full match
chr9	114986413	114990752	chr9|114986413,114989691,114990660|114986490,114989907,114990752	-	114986413,114989691,114990660	114986490,114989907,114990752	388	m,m,m	m,m,m	PTBP3	full match	full match
chr5	73136305	73136585	chr5|73136305|73136585	+	73136305	73136585	281	m	m	ARHGEF28	full match	full match
chr11	9879773	9985429	chr11|9879773,9917490,9983504,9985320|9879943,9917558,9983653,9985429	-	9879773,9917490,9983504,9985320	9879943,9917558,9983653,9985429	500	m,m,m,m	m,m,m,m	SBF2	full match	full match
chr12	34179484	34179968	chr12|34179484|34179968	+	34179484	34179968	485	inE	inE	ALG10	N5SS,N3SS	NSS
chr9	5797817	5801328	chr9|5797817,5798806,5801176|5797932,5799008,5801328	-	5797817,5798806,5801176	5797932,5799008,5801328	472	m,m,m	m,m,m	ERMP1	full match	full match
chr2	212426628	212495319	chr2|212426628,212483902,212488647,212495187|212426813,212484000,212488769,212495319	-	212426628,212483902,212488647,212495187	212426813,212484000,212488769,212495319	541	m,m,m,m	m,m,m,m	ERBB4	full match	full match
chr21	40578034	40601362	chr21|40578034,40581921,40584592,40585407,40587163,40590078,40590431,40596334,40597012,40600426,40601238|40578200,40582073,40584633,40585479,40587288,40590198,40590586,40596395,40597123,40600508,40601362	-	40578034,40581921,40584592,40585407,40587163,40590078,40590431,40596334,40597012,40600426,40601238	40578200,40582073,40584633,40585479,40587288,40590198,40590586,40596395,40597123,40600508,40601362	1220	m,m,m,m,m,m,m,m,m,m,m	m,m,m,m,m,m,m,m,m,m,m	BRWD1	full match	full match
chr8	124243540	124243997	chr8|124243540|124243997	-	124243540	124243997	458	m	m	C8orf76	full match	full match
chr15	96813077	96834012	chr15|96813077,96814932,96833859|96813225,96815027,96834012	-	96813077,96814932,96833859	96813225,96815027,96834012	399	m,m,m	m,m,m	NR2F2-AS1	full match	full match
chr3	141164078	141164908	chr3|141164078,141164436|141164156,141164908	-	141164078,141164436	141164156,141164908	552	a,a	a,a	ZBTB38-AS1	antisense	antisense
chr7	35029496	35053317	chr7|35029496,35050080,35050942,35053180|35029553,35050173,35051062,35053317	-	35029496,35050080,35050942,35053180	35029553,35050173,35051062,35053317	411	m,m,m,m	m,m,m,m	DPY19L1	full match	full match
chr9	95094452	95108069	chr9|95094452,95099823,95107981|95094633,95099911,95108069	+	95094452,95099823,95107981	95094633,95099911,95108069	360	m,m,m	m,m,m	CENPP	full match	full match
chr15	89843031	89844673	chr15|89843031,89843531,89844557|89843197,89843616,89844673	+	89843031,89843531,89844557	89843197,89843616,89844673	370	m,m,m	m,m,m	FANCI	full match	full match
chr1	92798948	92846430	chr1|92798948,92801904,92811403,92846281|92799030,92801984,92811471,92846430	+	92798948,92801904,92811403,92846281	92799030,92801984,92811471,92846430	383	m,m,m,m	m,m,m,m	RPAP2	full match	full match
chr17	35797839	35804870	chr17|35797839,35800610,35802665,35804798|35798063,35800763,35802753,35804870	+	35797839,35800610,35802665,35804798	35798063,35800763,35802753,35804870	541	m,m,m,m	m,m,m,m	TADA2A	full match	full match
chr2	69575303	69590802	chr2|69575303,69577210,69581621,69583628,69585461,69586400,69590677|69575466,69577315,69581700,69583689,69585595,69586458,69590802	-	69575303,69577210,69581621,69583628,69585461,69586400,69590677	69575466,69577315,69581700,69583689,69585595,69586458,69590802	732	m,m,m,m,m,m,m	m,m,m,m,m,m,m	GFPT1	full match	full match
chr5	41927115	41939718	chr5|41927115,41929799,41934048,41934235,41939543|41927350,41930019,41934123,41934410,41939718	+	41927115,41929799,41934048,41934235,41939543	41927350,41930019,41934123,41934410,41939718	885	m,m,m,m,m	m,m,m,m,m	FBXO4	full match	full match
chr13	31717929	31718060	chr13|31717929|31718060	-	31717929	31718060	132	m	m	HSPH1	full match	full match
chr14	23395342	23396869	chr14|23395342,23395715,23395911,23396735|23395505,23395764,23396023,23396869	-	23395342,23395715,23395911,23396735	23395505,23395764,23396023,23396869	462	m,m,m,m	m,m,m,m	PRMT5	full match	full match
chr2	215632206	215646233	chr2|215632206,215633956,215645284|215632378,215634036,215646233	-	215632206,215633956,215645284	215632378,215634036,215646233	1204	m,m,m	m,m,m	BARD1	full match	full match
chr15	51204275	51223168	chr15|51204275,51207622,51216128,51217295,51221206,51223002|51204346,51207768,51216201,51217416,51221365,51223168	+	51204275,51207622,51216128,51217295,51221206,51223002	51204346,51207768,51216201,51217416,51221365,51223168	742	m,m,m,m,m,m	m,m,m,m,m,m	AP4E1	full match	full match
chr20	47708583	47711500	chr20|47708583,47710677,47711015,47711269|47708664,47710823,47711151,47711500	+	47708583,47710677,47711015,47711269	47708664,47710823,47711151,47711500	598	m,m,intron,m	m,m,intron,m	CSE1L	full match	full match
chr6	117010483	117037481	chr6|117010483,117013218,117013456,117019867,117023182,117037382|117010616,117013319,117013555,117019961,117023313,117037481	+	117010483,117013218,117013456,117019867,117023182,117037382	117010616,117013319,117013555,117019961,117023313,117037481	663	m,m,m,m,m,m	m,m,m,m,m,m	KPNA5	full match	full match
chr20	48471975	48494600	chr20|48471975,48479466,48481276,48491242,48494518|48472118,48479604,48481381,48491358,48494600	+	48471975,48479466,48481276,48491242,48494518	48472118,48479604,48481381,48491358,48494600	589	m,m,m,m,m	m,m,m,m,m	SLC9A8	full match	full match
chr6	151743676	151754365	chr6|151743676,151744660,151748617,151751273,151754290|151743740,151744766,151748717,151751312,151754365	-	151743676,151744660,151748617,151751273,151754290	151743740,151744766,151748717,151751312,151754365	389	m,m,m,m,m	m,m,m,m,m	RMND1	full match	full match
chr10	71243447	71258152	chr10|71243447,71244897,71255350,71258036|71243632,71244971,71255445,71258152	+	71243447,71244897,71255350,71258036	71243632,71244971,71255445,71258152	474	m,m,m,m	m,m,m,m	TSPAN15	full match	full match
chr1	70758071	70781249	chr1|70758071,70759187,70761813,70766447,70771907,70781164|70758232,70759303,70761944,70766591,70771973,70781249	-	70758071,70759187,70761813,70766447,70771907,70781164	70758232,70759303,70761944,70766591,70771973,70781249	709	m,intron,m,m,m,m	m,intron,m,m,m,m	ANKRD13C	full match	full match
chr1	224592132	224612356	chr1|224592132,224599129,224605962,224612247|224592272,224599267,224606118,224612356	-	224592132,224599129,224605962,224612247	224592272,224599267,224606118,224612356	547	m,m,m,inE	m,m,m,m	WDR26	full match	full match
chr5	145176005	145205763	chr5|145176005,145197457,145199508,145202640,145205561|145176110,145197617,145199581,145202697,145205763	-	145176005,145197457,145199508,145202640,145205561	145176110,145197617,145199581,145202697,145205763	602	m,m,m,m,m	m,m,m,m,m	PRELID2	full match	full match
chr22	21288067	21288532	chr22|21288067|21288532	+	21288067	21288532	466	m	m	CRKL	full match	full match
chr17	59820374	59871090	chr17|59820374,59821793,59853762,59858201,59861631,59870958|59820495,59821952,59853923,59858366,59861785,59871090	-	59820374,59821793,59853762,59858201,59861631,59870958	59820495,59821952,59853923,59858366,59861785,59871090	898	m,m,m,m,m,m	m,m,m,m,m,m	BRIP1	full match	full match
chr2	239090706	239093928	chr2|239090706,239092294,239092661,239093822|239090827,239092381,239092754,239093928	-	239090706,239092294,239092661,239093822	239090827,239092381,239092754,239093928	411	m,m,m,m	m,m,m,m	ILKAP	full match	full match
chr2	86354284	86355114	chr2|86354284,86355053|86354428,86355114	+	86354284,86355053	86354428,86355114	207	m,m	m,m	PTCD3	full match	full match
chr17	57987923	58011621	chr17|57987923,57990045,57991996,58003796,58007478,58011531|57987972,57990165,57992064,58003943,58007535,58011621	+	57987923,57990045,57991996,58003796,58007478,58011531	57987972,57990165,57992064,58003943,58007535,58011621	537	m,m,m,m,m,m	m,m,m,m,m,m	RPS6KB1	full match	full match
chr2	61570950	61575615	chr2|61570950,61575005|61571164,61575615	-	61570950,61575005	61571164,61575615	826	m,m	m,m	USP34	full match	full match
chr12	45725078	45751207	chr12|45725078,45740805,45741811,45742301,45744442,45751073|45725206,45740870,45742098,45742414,45744557,45751207	+	45725078,45740805,45741811,45742301,45744442,45751073	45725206,45740870,45742098,45742414,45744557,45751207	848	m,m,m,m,m,m	m,m,m,m,m,m	ANO6	full match	full match
chr15	87671737	87699741	chr15|87671737,87685483,87699686|87671897,87685611,87699741	-	87671737,87685483,87699686	87671897,87685611,87699741	346	intergenic,intergenic,intergenic	intergenic,intergenic,intergenic		intergenic	intergenic
chr1	167921038	167944253	chr1|167921038,167935867,167944068|167921099,167935959,167944253	+	167921038,167935867,167944068	167921099,167935959,167944253	341	m,m,m	m,m,m	DCAF6	full match	full match
chr12	68054171	68054671	chr12|68054171|68054671	+	68054171	68054671	501	inE	inE	DYRK2	N5SS,N3SS	NSS
chr17	5268417	5271763	chr17|5268417,5271665|5268533,5271763	+	5268417,5271665	5268533,5271763	216	m,m	m,m	RABEP1	full match	full match
chr8	134420357	134420824	chr8|134420357|134420824	+	134420357	134420824	468	inE	inE	ST13P6	N5SS,N3SS	NSS
chr12	57059988	57066849	chr12|57059988,57064059,57065533,57066524,57066736|57060050,57064148,57065631,57066593,57066849	-	57059988,57064059,57065533,57066524,57066736	57060050,57064148,57065631,57066593,57066849	436	m,m,m,m,m	m,m,m,m,m	PTGES3	full match	full match
chr13	30826068	30829752	chr13|30826068,30828242,30829584|30826105,30828332,30829752	-	30826068,30828242,30829584	30826105,30828332,30829752	298	intron,intron,m	intron,intron,m	KATNAL1	cryptic exon	cryptic exon
chr4	151656410	151729550	chr4|151656410,151682935,151719233,151727423,151729472|151656518,151682999,151719294,151727556,151729550	-	151656410,151682935,151719233,151727423,151729472	151656518,151682999,151719294,151727556,151729550	449	m,m,m,m,m	m,m,m,m,m	LRBA	full match	full match
chr1	224500736	224505627	chr1|224500736,224505396,224505580|224500857,224505495,224505627	-	224500736,224505396,224505580	224500857,224505495,224505627	270	m,m,m	m,m,m	NVL	full match	full match
chr17	59152281	59161925	chr17|59152281,59155694,59161828|59152381,59155890,59161925	+	59152281,59155694,59161828	59152381,59155890,59161925	396	m,m,m	m,m,m	BCAS3	full match	full match
chr5	107497869	107559929	chr5|107497869,107521818,107559822|107498183,107521948,107559929	-	107497869,107521818,107559822	107498183,107521948,107559929	554	intron,m,m	intron,m,m	FBXL17	cryptic exon	cryptic exon
chr5	122881111	122893258	chr5|122881111,122888801,122893189|122881535,122888841,122893258	+	122881111,122888801,122893189	122881535,122888841,122893258	536	m,m,m	m,m,m	CSNK1G3	full match	full match
chr1	231672959	231678357	chr1|231672959,231678227|231673073,231678357	+	231672959,231678227	231673073,231678357	246	m,m	m,m	TSNAX	full match	full match
chr2	37336337	37342002	chr2|37336337,37338225,37341874|37336438,37338282,37342002	-	37336337,37338225,37341874	37336438,37338282,37342002	289	m,intron,m	m,intron,m	EIF2AK2	full match	full match
